r,l,e,ROM,QRR,theta_min,theta_max
0.082039608,0.30202185,0.20743036,0.24998223,1.5327376,1.910236,5.7126332
0.098405673,0.26339376,0.14295926,0.24999412,1.5135815,2.0934806,5.8769716
0.087592649,0.27251718,0.17276969,0.25002119,1.5795429,1.9353828,5.7827934
0.084930915,0.24170892,0.151761,0.24990025,1.7227541,1.8244609,5.7999882
0.092064276,0.24971315,0.14622378,0.24999638,1.6224271,1.9538485,5.841091
0.091770106,0.28224183,0.17181466,0.24999739,1.5189148,2.0171015,5.8058851
0.099777567,0.25040897,0.13069493,0.24999278,1.5400828,2.0911422,5.9007131
0.08529385,0.24378358,0.15296614,0.24988742,1.7094042,1.8355821,5.799739
0.091827948,0.27602855,0.16697311,0.2499972,1.5357089,2.0067346,5.8120387
0.084692108,0.30511373,0.2046729,0.24992819,1.5093693,1.9511003,5.7303953
0.081032044,0.30391132,0.21092286,0.249995,1.5338273,1.8998309,5.703295
0.085160284,0.2735748,0.17809257,0.24989969,1.5933204,1.9033344,5.7636856
0.086148538,0.2538981,0.16016159,0.25008497,1.6588253,1.8727205,5.7927625
0.082314616,0.27327105,0.1828684,0.2499731,1.6146761,1.8628847,5.7430246
0.082567081,0.29383698,0.19964106,0.24997179,1.5508335,1.9041282,5.7241244
0.080695554,0.23429292,0.151337,0.24999761,1.8003222,1.742566,5.7820147
0.088976548,0.29280195,0.18597196,0.24999857,1.5120163,1.9924628,5.7743962
0.083633314,0.2945275,0.19817801,0.24994936,1.5423192,1.9198303,5.7315772
0.081241454,0.27543067,0.18652376,0.24999132,1.6147021,1.8527064,5.7328702
0.086597782,0.23835749,0.1463868,0.25009131,1.7259037,1.8376855,5.8158791
0.086132924,0.26177012,0.16671144,0.25007995,1.6281769,1.8909701,5.7834544
0.085518281,0.28483,0.18671219,0.25009772,1.5576045,1.9282672,5.7547844
0.086424052,0.27738089,0.1789306,0.25006557,1.5731961,1.9275909,5.7689937
0.089600629,0.26855096,0.16573109,0.24999794,1.5764925,1.9575749,5.8021017
0.084698337,0.22127037,0.13427719,0.24999895,1.8447399,1.7543742,5.8288566
0.088791233,0.22528875,0.13192346,0.249991,1.7753963,1.8304077,5.8497054
