design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,sigma_rod,tau_rod,sigma_crank,tau_crank,sigma_pin,tau_pin,sigma,tau
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,0.0,316201.0645826982,490266.85213097755,55413.49212779063,4153170.6315994165,998349.4084762555,149752.4112714383,998349.4084762555,4153170.6315994165
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,14.999999999999998,283319.88480224315,451674.7142542434,44533.88732500145,7209202.911641805,971819.3070924833,145772.89606387247,971819.3070924833,7209202.911641805
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,29.999999999999996,245172.0636495346,403985.6251075399,27084.887388764695,9252498.825971302,937691.8211998162,140653.7731799724,937691.8211998162,9252498.825971302
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,45.0,203320.71369030228,347036.01434645336,9094.268708910886,9789944.169492165,893641.255006682,134046.18825100226,893641.255006682,9789944.169492165
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,59.99999999999999,160719.22612165322,278988.6433743698,15367.508947448054,8366227.573631927,817910.3328962491,122686.54993443735,817910.3328962491,8366227.573631927
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,75.0,123273.84079226755,200148.45321786398,26518.2775105953,4780376.956964254,639446.2452755979,95916.93679133967,639446.2452755979,4780376.956964254
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,90.0,105456.53514046114,150133.04022548537,24108.42142494058,1386171.3383661378,439603.38280929945,65940.50742139491,439603.38280929945,1386171.3383661378
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,105.00000000000001,122485.6913987871,188688.28852697788,32657.200035428148,786317.7170478051,576229.6096158982,86434.44144238472,576229.6096158982,786317.7170478051
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,119.99999999999999,247991.47011502684,457608.6789211542,66999.06942299099,8802575.085068027,1417864.481881096,212679.6722821644,1417864.481881096,8802575.085068027
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,135.0,206932.9451835472,334096.4051654301,48007.94101940087,6958499.34539165,1026158.0815157202,153923.71222735802,1026158.0815157202,6958499.34539165
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,150.0,245807.3112950077,268300.7469826887,42998.65159275469,6074238.681008119,891722.6663589224,133758.39995383835,891722.6663589224,6074238.681008119
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,165.0,282263.0701030014,225183.4457980182,43072.80019755033,5228724.3178886175,842303.6537983747,126345.54806975619,842303.6537983747,5228724.3178886175
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,180.0,314017.79241378995,193415.6544146441,44844.43233146908,4153170.6315994165,824559.0078511317,123683.85117766974,824559.0078511317,4153170.6315994165
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,195.0,340146.5524910671,168554.86241478115,46584.93414388651,2776993.701572713,818722.3959224987,122808.35938837478,818722.3959224987,2776993.701572713
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,210.00000000000003,360484.80076960643,148396.1768480533,47172.86147960372,1127451.63124406,815684.7056203199,122352.70584304797,815684.7056203199,1127451.63124406
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,225.0,375334.70427276834,131568.65353464056,45820.419218660274,716979.1972431518,810225.2256587396,121533.78384881093,810225.2256587396,716979.1972431518
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,239.99999999999997,385242.40469706495,117114.85585430982,42053.095102028135,2603194.9192791726,798927.4328236878,119839.11492355315,798927.4328236878,2603194.9192791726
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,255.00000000000003,390793.2022279771,104433.47162070929,35773.05690249467,4360607.11236019,779726.3184124738,116958.94776187104,779726.3184124738,4360607.11236019
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,270.0,392431.000824887,93359.86031943151,27304.86002562755,5813720.9022447625,752060.2523417518,112809.03785126276,752060.2523417518,5813720.9022447625
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,285.0,390329.7605331114,84253.22135863996,17342.840986539697,6823018.568857707,717088.1231179894,107563.2184676984,717088.1231179894,6823018.568857707
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,300.0,384344.66534279165,77998.55727558272,10620.154651565153,7312304.518799237,677619.3934454814,101642.90901682222,677619.3934454814,7312304.518799237
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,315.0,374055.05341503833,75891.60623203614,9508.270596244647,7270274.738469537,637653.3367094304,95648.00050641457,637653.3367094304,7270274.738469537
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,330.0,363973.34814057825,538333.0455170686,54267.05375485939,2777192.8089678036,1019610.4167957382,152941.5625193607,1019610.4167957382,2777192.8089678036
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.004914890550421644,0.00960702406145578,0.021820349194926134,345.0,343116.0158117475,519274.4545059353,58573.31571581757,680549.9675977938,1015116.0917388224,152267.41376082334,1015116.0917388224,680549.9675977938
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,0.0,117242.94150568562,44234.93562902463,168719.91844135322,16015550.912344212,313859.9142925018,66686.56193563182,313859.9142925018,16015550.912344212
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,14.999999999999998,105358.96084238889,39991.30640348285,111805.67984424904,21060651.325767837,284499.2435963439,67466.78067412434,284499.2435963439,21060651.325767837
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,29.999999999999996,91522.68285896924,35247.66929888379,37469.05293862335,23736174.393100053,253031.88779367204,67932.73281668685,253031.88779367204,23736174.393100053
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,45.0,76302.53213169525,30256.623678085212,45113.70835200845,23250405.978084266,221087.0213519145,67913.89363247903,221087.0213519145,23250405.978084266
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,59.99999999999999,60785.70908657261,25491.730748744954,121095.91615528107,18923887.068001788,193598.6048350747,66312.1695072125,193598.6048350747,18923887.068001788
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,75.0,47162.66808218231,22183.641853578418,162019.08613677963,10570166.051082926,190188.716608826,59627.64070431637,190188.716608826,10570166.051082926
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,90.0,40712.687727002056,21568.049797951753,157254.85174492368,2453769.6653221142,216446.38581951655,51121.36034628975,216446.38581951655,2453769.6653221142
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,105.00000000000001,46872.09192641861,22303.11152118689,179883.75652129142,889780.08944956,197634.82114063101,56821.174330516784,197634.82114063101,889780.08944956
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,119.99999999999999,64164.67885841412,19526.23241459774,117897.00363967114,19693995.05151411,553538.6730646271,61322.90914581146,553538.6730646271,19693995.05151411
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,135.0,77405.86547538509,10644.212956988691,77727.8526522673,18349445.321017157,422409.1796404514,54970.96540773823,422409.1796404514,18349445.321017157
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,150.0,91591.21965824447,8029.600495396275,83498.91348296952,18228023.740736388,359967.8670464791,56260.733170661,359967.8670464791,18228023.740736388
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,165.0,104819.30365206311,8281.618114953491,107440.72061795394,17624440.907443084,323290.4392590588,58644.711866177524,323290.4392590588,17624440.907443084
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,180.0,116294.1804146495,8567.725116629248,137901.40413493017,16015550.912344214,298752.80755527824,60943.606266108975,298752.80755527824,16015550.912344214
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,195.0,125702.02125324556,8815.154490334897,168026.0601948551,13268406.312547343,281157.7371421327,62880.03080215627,281157.7371421327,13268406.312547343
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,210.00000000000003,133001.88914800406,8993.015261012648,192795.5111895697,9459096.099450361,268219.51208082924,64339.722094549805,268219.51208082924,9459096.099450361
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,225.0,138320.71591832125,10298.641268274652,208359.442013928,4820058.657906545,258841.0480677438,65240.72631000403,258841.0480677438,4820058.657906545
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,239.99999999999997,141871.8423604975,11694.512903844947,212090.53810223582,292850.0850699257,252458.90589937396,65518.486523857144,252458.90589937396,292850.0850699257
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,255.00000000000003,143879.05959674955,12710.794033830785,202839.82549184313,5446221.055885917,248739.7371841733,65140.336326043776,248739.7371841733,5446221.055885917
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,270.0,144509.14743230984,13360.396622868786,181087.10547821643,10195327.329252973,247416.04905651073,64125.98555418494,247416.04905651073,10195327.329252973
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,285.0,143823.7347076978,13613.071866386617,148763.5154788312,14157871.074821357,248204.75164680494,62559.136721014605,248204.75164680494,14157871.074821357
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,300.0,141761.27411872512,13399.263981557862,108696.96193706096,17066905.26022754,250807.1558208844,60578.92728560661,250807.1558208844,17066905.26022754
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,315.0,138153.8706439377,12627.359815462512,63886.572712569105,18776728.994987715,254998.15803931194,58349.42644500072,254998.15803931194,18776728.994987715
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,330.0,134390.6927787451,50539.58841598724,213478.70162404786,2662343.753033301,361474.98377787246,64081.98082012451,361474.98377787246,2662343.753033301
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.004936744304933007,0.05315164664305204,0.02194480338789809,345.0,126927.28522952073,47794.30573310019,202976.69334047168,9548328.826823406,339915.6160177245,65565.57474864028,339915.6160177245,9548328.826823406
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.006529829469243489,0.021582013995529996,0.02200899555058889,0.0,412513.7289891461,37262.71353352057,160979.15473054504,56978.27414671339,963412.586964107,55396.223750436155,963412.586964107,56978.27414671339
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.006529829469243489,0.021582013995529996,0.02200899555058889,14.999999999999998,369064.7137844961,34014.16938504295,107530.67003707564,77505.41418535108,956270.3230784623,54985.54357701159,956270.3230784623,77505.41418535108
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.006529829469243489,0.021582013995529996,0.02200899555058889,29.999999999999996,318597.9536874578,30206.55805057857,39090.525256023626,89049.96909229716,942951.5928719346,54219.716590136246,942951.5928719346,89049.96909229716
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.006529829469243489,0.021582013995529996,0.02200899555058889,45.0,263204.18559050583,25937.44713305447,41586.43500568438,88353.92983631279,920977.1992505022,52956.18895690387,920977.1992505022,88353.92983631279
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.006529829469243489,0.021582013995529996,0.02200899555058889,59.99999999999999,207045.64196095767,21329.88786666132,114463.41054486425,72553.40378851752,870630.9780481692,50061.28123776973,870630.9780481692,72553.40378851752
