design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,x_C,v_Cx,a_Cx,pos_Bx,pos_By,vel_Bx,vel_By,acc_Bx,acc_By,phi_rad,omega_cb,alpha_cb
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.018,0.011,0.006,0.011,0.0032,0.0034,0.0043,0.12563507985925487,0.14821939576929397,0.06013456612156987,0.0,0.2852595452336691,-0.24185716927591291,-1.3619316390720382,0.079,0.0,-0.0,0.24818581963359362,-0.779698747686059,-0.0,-0.7724844013452697,-1.2032694988851387,-1.4109376346520754
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.018,0.011,0.006,0.011,0.0032,0.0034,0.0043,0.12563507985925487,0.14821939576929397,0.06013456612156987,14.999999999999998,0.26044221381604715,-0.35254262563115885,-1.27396392350141,0.0763081402768364,0.02044670456309914,-0.06423521684555314,0.23972909290280858,-0.7531311571152083,-0.20180088534373702,-0.8771379536783502,-1.3019268421917525,-0.9425429287536802
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.018,0.011,0.006,0.011,0.0032,0.0034,0.0043,0.12563507985925487,0.14821939576929397,0.06013456612156987,29.999999999999996,0.22685763652956992,-0.45034505486017845,-1.046851097409957,0.06841600689897066,0.03949999999999999,-0.1240929098167968,0.2149352246617548,-0.6752389227950404,-0.3898493738430294,-0.9882590026166272,-1.3565577756481568,-0.3328071698101034
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.018,0.011,0.006,0.011,0.0032,0.0034,0.0043,0.12563507985925487,0.14821939576929397,0.06013456612156987,45.0,0.18611581315679138,-0.5215675347543903,-0.620038846436211,0.05586143571373726,0.05586143571373725,-0.17549387605725542,0.17549387605725544,-0.5513302717714712,-0.5513302717714712,-1.101485039178081,-1.3473165317148712,0.6530261161852967
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.018,0.011,0.006,0.011,0.0032,0.0034,0.0043,0.12563507985925487,0.14821939576929397,0.06013456612156987,59.99999999999999,0.1412792475243052,-0.5434168853198538,0.18611207264635554,0.03950000000000001,0.06841600689897065,-0.21493522466175477,0.12409290981679684,-0.3898493738430296,-0.6752389227950403,-1.2095930028518709,-1.2192358740632578,2.699394079163369
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.018,0.011,0.006,0.011,0.0032,0.0034,0.0043,0.12563507985925487,0.14821939576929397,0.06013456612156987,75.0,0.09819112774703176,-0.46885097450165547,1.7562353906914239,0.02044670456309914,0.0763081402768364,-0.23972909290280858,0.06423521684555314,-0.20180088534373702,-0.7531311571152083,-1.2974594672764796,-0.8262356863023009,7.252256289709472
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.018,0.011,0.006,0.011,0.0032,0.0034,0.0043,0.12563507985925487,0.14821939576929397,0.06013456612156987,90.0,0.0674091981854107,-0.24818581963359368,3.2386626043468696,4.837354856632045e-18,0.079,-0.24818581963359362,1.519699848040214e-17,-4.7742778782646595e-17,-0.779698747686059,-1.334545020810127,-2.2544398820176484e-16,11.566652158381691
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.018,0.011,0.006,0.011,0.0032,0.0034,0.0043,0.12563507985925487,0.14821939576929397,0.06013456612156987,105.00000000000001,0.05729771862083348,-0.010607211303961613,2.159837161378897,-0.020446704563099147,0.0763081402768364,-0.23972909290280858,-0.06423521684555317,0.2018008853437371,-0.7531311571152083,-1.2974594672764796,0.8262356863023014,7.252256289709469
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.018,0.011,0.006,0.011,0.0032,0.0034,0.0043,0.12563507985925487,0.14821939576929397,0.06013456612156987,119.99999999999999,0.0622792475243052,0.11354643599634405,0.9658108203324155,-0.039499999999999987,0.06841600689897066,-0.2149352246617548,-0.12409290981679677,0.38984937384302937,-0.6752389227950404,-1.2095930028518709,1.2192358740632572,2.699394079163375
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.018,0.011,0.006,0.011,0.0032,0.0034,0.0043,0.12563507985925487,0.14821939576929397,0.06013456612156987,135.0,0.07439294172931687,0.17057978263987938,0.48262169710673186,-0.05586143571373725,0.05586143571373726,-0.17549387605725544,-0.17549387605725542,0.5513302717714712,-0.5513302717714712,-1.101485039178081,1.347316531714871,0.653026116185298
