design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,F_Ax,F_Ay,F_Bx,F_By,F_Cx,F_Cy,N,F_f,tau_A
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,0.0,-0.26392724040369214,0.26876870256068464,0.25855122506988154,-0.13348899207969062,0.22968744479661302,0.13093916156580343,0.7315324995864358,0.14630649991728717,0.01588917893829483
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,14.999999999999998,-0.2514415600389541,0.29152372428041007,0.24624872798550043,-0.15763542895456945,0.2189285949869624,0.10407295733539601,0.7046662953560284,0.14093325907120569,0.022225312977419805
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,29.999999999999996,-0.22738697350478457,0.31520467008023073,0.2227312076545699,-0.182612967266142,0.19952177419615305,0.07656099931894611,0.6771543373395785,0.13543086746791572,0.025919181533456608
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,45.0,-0.18839788338827518,0.33482426344356886,0.18459646648997485,-0.20334596986087516,0.1688093628628083,0.05365164118454757,0.65424497920518,0.13084899584103601,0.025449480894047135
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,59.99999999999999,-0.12448927119221512,0.33429663654652214,0.12180126352530983,-0.20367269191574278,0.11905539816424192,0.05165494278865723,0.6522482808092896,0.13044965616185794,0.019050001698322414
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,75.0,-0.0168525320376528,0.2652970227432562,0.015461116882499435,-0.13521014431571582,0.03641097652632898,0.11906769937417838,0.7196610373948108,0.14393220747896215,0.0053274230874570064
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,90.0,0.07707215971089776,0.1601364437437474,-0.07707215971089776,-0.03023274859656394,-0.03342314988683304,0.22368703092811826,0.8242803689487507,0.16485607378975015,-0.0060887006171609186
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,105.00000000000001,0.01657165559596133,0.24056078911556886,-0.015180240440807964,-0.11047391068802853,0.01664868862513582,0.14380393300186567,0.7443972710224981,0.14887945420449963,-0.004800215467554836
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,119.99999999999999,0.26010767356321546,0.08644806878055206,-0.25741966589631016,0.04417587585022731,-0.23914878301575437,0.2995035105546273,0.9000968485752597,-0.18001936971505195,-0.018538452823808334
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,135.0,0.21041317759889208,0.173422458060575,-0.20661176070059176,-0.041944164477881296,-0.19267669392747316,0.21505344656754144,0.8156467845881739,-0.16312935691763478,-0.01766315026082928
