design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,I_min_r,P_cr,N_max_comp,n_buck,buckling_passed
11,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.002,0.002,0.01,0.004,0.0012,0.0014,0.0039,0.0031501024814134,0.06280605906227534,0.06053643865381708,5.3333333333333337e-11,961.9574422928426,0.5145784310812452,1869.4087901654823,True
12,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.009,0.007,0.006,0.004,0.0035,0.001,0.002,0.05016885369869011,0.037598277886510004,0.06190991154604,3.2e-11,577.1744653757055,0.38383847747202526,1503.691003510118,True
13,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.004,0.006,0.004,0.008,0.0014,0.0033,0.0031,0.018874797252496047,0.049714038669381996,0.061222562489361095,1.706666666666667e-10,3078.2638153370967,0.4455410865126969,6909.045896150754,True
14,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.012,0.004,0.008,0.006,0.0035,0.0023,0.0018,0.038470352425877076,0.0753339859115791,0.0620030283522924,1.44e-10,2597.285094190675,0.5867559462635078,4426.516869117937,True
15,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.006,0.005,0.003,0.011,0.0035,0.0022,0.002,0.02377742427011397,0.05142483748421161,0.06190991154604,3.3274999999999996e-10,6001.712604805188,0.45679283104284063,13138.806471860573,True
16,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.011,0.003,0.007,0.007,0.0018,0.003,0.003,0.02561800939963236,0.08178331068501299,0.061297300978589986,2.0008333333333337e-10,3181.7703428347495,0.6063270207845716,5247.614296848622,True
17,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.005,0.012,0.007,0.006,0.0023,0.0018,0.0027,0.046196331823158174,0.07012885264348509,0.0615068137926579,1.26e-10,2003.6804491320868,0.544087995275695,3682.640430463461,True
18,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.011,0.004,0.006,0.01,0.001,0.0017,0.0011,0.03400159779570478,0.10008802966734548,0.062251748242677096,5e-10,7951.112893381297,0.7075505358695366,11237.519428361202,True
19,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.004,0.011,0.012,0.002,0.0039,0.0026,0.0017,0.03326850404164356,0.040157846160482145,0.06204591109201389,8e-12,127.21780629410074,0.3887677838660272,327.23340660845787,True
20,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.011,0.004,0.005,0.011,0.0013,0.0033,0.0011,0.034114694362459154,0.09150541533472403,0.062251748242677096,5.545833333333333e-10,8819.109384242087,0.6613075228697236,13335.867322319024,True
21,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.011,0.005,0.004,0.009,0.0025,0.0034,0.0015,0.05177102028968576,0.04569694632571638,0.0621243252446475,2.4299999999999994e-10,6598.545065974276,0.45146150250937456,14615.963995373577,True
22,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.011,0.007,0.006,0.005,0.0032,0.0013,0.0015,0.07231115891512249,0.038348915718212355,0.0621243252446475,6.25e-11,1697.156652771162,0.414660753850458,4092.879871103547,True
23,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.009,0.01,0.009,0.003,0.0022,0.0033,0.0033,0.08450486357740111,0.034622500255228165,0.06106573418409388,2.0249999999999998e-11,549.8787554978564,0.39264087719946966,1400.4623242997359,True
24,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.01,0.001,0.006,0.009,0.0019,0.0012,0.0025,0.009371963166343774,0.06901083222626783,0.0616342367906875,3.6449999999999993e-10,9897.817598961414,0.5720446177899488,17302.527269989685,True
25,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.008,0.009,0.008,0.006,0.0031,0.0014,0.0013,0.0674560886161143,0.06139847828572846,0.0621929376282019,1.44e-10,3910.248927984757,0.5340251181668891,7322.219114724783,True
26,0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,3.1415926535897927,0.008,0.011,0.006,0.009,0.0029,0.0017,0.0025,0.07769404506465964,0.08630538654721562,0.0616342367906875,3.6449999999999993e-10,6319.086788418057,0.6223904825411215,10152.929656986767,True
27,0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,3.1415926535897927,0.006,0.01,0.006,0.004,0.0021,0.0038,0.003,0.05264182908035673,0.03825089633195887,0.061297300978589986,3.2e-11,554.7620774468529,0.3849642587377236,1441.0742422319593,True
28,0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,3.1415926535897927,0.003,0.007,0.008,0.005,0.0011,0.0013,0.0016,0.01841780005480765,0.06397022025441687,0.062086343389465594,8.333333333333336e-11,1444.6929100178463,0.5139912128891739,2810.734646409897,True
29,0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,3.1415926535897927,0.004,0.002,0.005,0.008,0.0018,0.002,0.0037,0.0070186539898332385,0.06367023352494475,0.06072267226632187,2.1333333333333335e-10,3698.4138496456862,0.5081398970090923,7278.33785816568,True
30,0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,3.1415926535897927,0.004,0.002,0.008,0.006,0.0016,0.003,0.0014,0.006990684436805558,0.07679842729084486,0.0621598566575596,1.44e-10,2496.429348510838,0.5773193802647223,4324.173817560278,True
31,0.092,0.279,0.169,0.2502226302837912,1.527305416544305,3.1415926535897927,0.012,0.002,0.007,0.002,0.0018,0.0038,0.003,0.017529940903349674,0.03055088816597944,0.061297300978589986,4.6666666666666675e-12,43.252926452961155,0.3136567269563594,137.89892814567037,True
32,0.092,0.279,0.169,0.2502226302837912,1.527305416544305,3.1415926535897927,0.008,0.005,0.008,0.01,0.0037,0.0028,0.0023,0.029058524724140066,0.17488284232493817,0.061751858019637895,6.666666666666668e-10,6178.989493280165,1.0475692149616336,5898.406907181275,True
33,0.092,0.279,0.169,0.2502226302837912,1.527305416544305,3.1415926535897927,0.007,0.006,0.007,0.008,0.003,0.0039,0.0032,0.030379541889722115,0.12217056488467179,0.061145373557862384,2.986666666666667e-10,2768.187292989514,0.7757494502313445,3568.403808941126,True
34,0.092,0.279,0.169,0.2502226302837912,1.527305416544305,3.1415926535897927,0.008,0.003,0.007,0.003,0.0034,0.0039,0.0026,0.017413692453280893,0.04582877837499371,0.061571750512807596,1.575e-11,145.9786267787439,0.3904365155287426,373.88569196980615,True
35,0.092,0.279,0.169,0.2502226302837912,1.527305416544305,3.1415926535897927,0.008,0.009,0.005,0.01,0.0019,0.0037,0.0011,0.05228584534648034,0.1088332102544995,0.062251748242677096,4.1666666666666673e-10,3861.868433300103,0.7100480730257814,5438.88305596441,True
36,0.102,0.185,0.079,0.2504571856529728,1.907026705379786,3.1415926535897927,0.003,0.011,0.006,0.007,0.0029,0.0025,0.0039,0.025961884198930113,0.060734056405576595,0.06053643865381708,1.715e-10,3615.245464278069,0.523105392507073,6911.122531066599,True
37,0.102,0.185,0.079,0.2504571856529728,1.907026705379786,3.1415926535897927,0.01,0.004,0.005,0.007,0.0021,0.0038,0.0016,0.03228249163214269,0.0505130934247345,0.062086343389465594,1.429166666666667e-10,3012.7045535650577,0.4713985484546069,6390.992427621284,True
38,0.102,0.185,0.079,0.2504571856529728,1.907026705379786,3.1415926535897927,0.008,0.006,0.009,0.01,0.0028,0.0027,0.0012,0.03866227212686888,0.13070409097461613,0.062223568156574406,7.500000000000001e-10,15810.11135981663,0.9163632988640573,17253.10406845753,True
39,0.102,0.185,0.079,0.2504571856529728,1.907026705379786,3.1415926535897927,0.004,0.006,0.006,0.003,0.0032,0.003,0.0029,0.018967522360935712,0.026068213500620867,0.061369589025549086,1.35e-11,284.5820044766993,0.3340403779705723,851.9389368604112,True
40,0.102,0.185,0.079,0.2504571856529728,1.907026705379786,3.1415926535897927,0.011,0.011,0.01,0.005,0.0013,0.004,0.0021,0.09757659109679902,0.07271433091591727,0.0618596774795091,1.0416666666666668e-10,2195.8487999745316,0.5934266270830131,3700.2869432539965,True
